dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,8.916667,0.007995,0.319798,6.395956,127.919121,0.000000
0.050000,0.021980,8.916667,0.029975,0.439596,2.395956,-80.000000,0.000000
0.050000,0.061955,8.916667,0.069949,0.799495,7.197978,96.040439,0.000000
0.050000,0.117919,8.916667,0.125914,1.119292,6.395956,-16.040439,0.000000
0.050000,0.189874,8.916667,0.197869,1.439090,6.395956,0.000000,0.000000
0.050000,0.277818,8.916667,0.285813,1.758888,6.395956,0.000000,0.000000
0.050000,0.381752,8.916667,0.389747,2.078686,6.395956,-0.000000,0.000000
0.050000,0.501676,8.916667,0.509671,2.398484,6.395956,0.000000,0.000000
0.050000,0.637591,8.916667,0.645585,2.718281,6.395956,0.000000,0.000000
0.050000,0.789495,8.916667,0.797489,3.038079,6.395956,-0.000000,0.000000
0.050000,0.957388,8.916667,0.965383,3.357877,6.395956,0.000000,0.000000
0.050000,1.141272,8.916667,1.149267,3.677675,6.395956,-0.000000,0.000000
0.050000,1.341146,8.916667,1.349141,3.997473,6.395956,0.000000,0.000000
0.050000,1.557009,8.916667,1.565004,4.317270,6.395956,-0.000000,0.000000
0.050000,1.788863,8.916667,1.796858,4.637068,6.395956,0.000000,0.000000
0.050000,2.036706,8.916667,2.044701,4.956866,6.395956,0.000000,0.000000
0.050000,2.300539,8.916667,2.308534,5.276664,6.395956,0.000000,0.000000
0.050000,2.580362,8.916667,2.588357,5.596462,6.395956,0.000000,0.000000
0.050000,2.876175,8.916667,2.884170,5.916259,6.395956,-0.000000,0.000000
0.050000,3.187978,8.916667,3.195973,6.236057,6.395956,0.000000,0.000000
0.050000,3.515771,8.916667,3.523766,6.555855,6.395956,-0.000000,0.000000
0.050000,3.859553,8.916667,3.867548,6.875653,6.395956,0.000000,0.000000
0.050000,4.219326,8.916667,4.227321,7.195451,6.395956,-0.000000,0.000000
0.050000,4.595088,8.916667,4.603083,7.515248,6.395956,0.000000,0.000000
0.050000,4.986841,8.916667,4.994836,7.835046,6.395956,-0.000000,0.000000
0.050000,5.378919,8.916667,5.386914,7.841574,0.130549,-125.308138,0.000000
0.050000,5.755335,8.916667,5.763329,7.528303,-6.265407,-127.919121,0.000000
0.050000,6.115760,8.916667,6.123755,7.208505,-6.395956,-2.610984,0.000000
0.050000,6.460195,8.916667,6.468190,6.888708,-6.395956,0.000000,0.000000
0.050000,6.788641,8.916667,6.796636,6.568910,-6.395956,-0.000000,0.000000
0.050000,7.101096,8.916667,7.109091,6.249112,-6.395956,0.000000,0.000000
0.050000,7.397562,8.916667,7.405557,5.929314,-6.395956,0.000000,0.000000
0.050000,7.678038,8.916667,7.686033,5.609516,-6.395956,-0.000000,0.000000
0.050000,7.942524,8.916667,7.950519,5.289719,-6.395956,0.000000,0.000000
0.050000,8.191020,8.916667,8.199015,4.969921,-6.395956,-0.000000,0.000000
0.050000,8.423526,8.916667,8.431521,4.650123,-6.395956,0.000000,0.000000
0.050000,8.640042,8.916667,8.648037,4.330325,-6.395956,-0.000000,0.000000
0.050000,8.840569,8.916667,8.848564,4.010527,-6.395956,0.000000,0.000000
0.050000,9.025105,8.916667,9.033100,3.690730,-6.395956,-0.000000,0.000000
0.050000,9.193652,8.916667,9.201647,3.370932,-6.395956,0.000000,0.000000
0.050000,9.346208,8.916667,9.354203,3.051134,-6.395956,0.000000,0.000000
0.050000,9.482775,8.916667,9.490770,2.731336,-6.395956,-0.000000,0.000000
0.050000,9.603352,8.916667,9.611347,2.411538,-6.395956,0.000000,0.000000
0.050000,9.707939,8.916667,9.715934,2.091741,-6.395956,-0.000000,0.000000
0.050000,9.796536,8.916667,9.804531,1.771943,-6.395956,-0.000000,0.000000
0.050000,9.869144,8.916667,9.877138,1.452145,-6.395956,0.000000,0.000000
0.050000,9.925761,8.916667,9.933756,1.132347,-6.395956,-0.000000,0.000000
0.050000,9.966388,8.916667,9.974383,0.812549,-6.395956,0.000000,0.000000
0.050000,9.991026,8.916667,9.999021,0.492752,-6.395956,0.000000,0.000000
0.050000,9.999674,8.916667,10.007669,0.172954,-6.395956,-0.000000,0.000000
0.050000,10.000000,8.916667,10.007995,0.006527,-3.328527,61.348577,0.000000
0.050000,10.000000,8.916667,10.007995,0.000000,-0.130549,63.959561,0.000000
